printer,ad,server,comment,driver,server,room,faculty
p_philgrad,"CN=NXSARTSAPP-p_philgrad;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,Philosophy,"HP Universal Printing PCL 6","HH 363",Arts
p_arts_histma,"CN=NXSARTSAPP-p_arts_histma;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,-,"Brother HL-5370DW","HH 370",Arts
p_drama-copier,"CN=NXSARTSAPP-p_drama-copier;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"Drama  Xerox Workcentre 5335","Xerox GPD PS V2.1","ML 119A",Arts
p_classics,"CN=NXSARTSAPP-p_classics;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,Classics,"Xerox Phaser 8560DN PS3","ML 224",Arts
p_germangrad,"CN=NXSARTSAPP-p_germangrad;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"German Grad printer duplexer HP P4014 64bit","HP Universal Printing PCL 6 (v5.0)","ML 224A",Arts
p_woodbuffalo,"CN=NXSARTSAPP-p_woodbuffalo;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,-,"Xerox Global Print Driver PS","ML 233",Arts
p_clsi,"CN=NXSARTSAPP-p_clsi;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"Speech Communication","HP Universal Printing PCL 6 (v5.0)","ML 235",Arts
p_spcom-copier,"CN=NXSARTSAPP-p_clsi_copier;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"Communication; Leadership; Social Innovation","Xerox GPD PS V2.1","ML 248",Arts
p_classics-copier,"CN=NXSARTSAPP-p_classics-copier;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"Classics Xerox Workcentre 4150 64bit","Xerox GPD PS V2.1","ML 250",Arts
p_spanish,"CN=NXSARTSAPP-p_spanish;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"Spanish Laserjet P2055DN","HP LaserJet P2050 Series PCL6","ML 316",Arts
p_french,"CN=NXSARTSAPP-p_french;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"French HP Laserjet 4200 64bit","HP Universal Printing PCL 6 (v5.0)","ML 333",Arts
p_french_grad,"CN=NXSARTSAPP-p_french_grad;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,French,"HP LaserJet 4200 PCL 6","ML 333",Arts
p_gss-copier,"CN=NXSARTSAPP-p_gss-copier;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"German  Xerox Workcentre 5335","Xerox GPD PS V2.1","ML 350",Arts
p_spanish-copier,"CN=NXSARTSAPP-p_spanish-copier;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"Spanish Xerox Workcentre 5335","Xerox GPD PS V2.1","ML 353",Arts
p_french-copier,"CN=NXSARTSAPP-p_french-copier;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"French Workcentre 4150 64bit","Xerox GPD PS V2.1","ML 354A",Arts
p_arts-religious-studies,"CN=NXSARTSAPP-p_arts-religious-studies;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"Religious Studies","Xerox GPD PS V2.1","PAS 1057",Arts
q_arts,"CN=NXSARTSAPP-q_arts;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"Arts Computing Office","HP Universal Printing PCL 5 (v5.2)","PAS 1099",Arts
p_anthro,"CN=NXSARTSAPP-p_anthro;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"Anthropology x32520 Xerox 8560 Black and White 64bit","HP Universal Printing PCL 6","PAS 2012",Arts
p_aco_bw,"CN=NXSARTSAPP-p_aco_bw;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"ACO Black and White 64bit","Xerox GPD PS V2.1","PAS 2034",Arts
p_aco_colour,"CN=NXSARTSAPP-p_aco_colour;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"ACO Colour 64bit","Xerox Phaser 8560DN PS3","PAS 2034",Arts
p_aco_copier,"CN=NXSARTSAPP-p_aco_copier;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,-,"Xerox GPD PS V2.1","PAS 2035",Arts
