id,employer,date,start_time,end_time,location,website,audience,programs,description
2844,Fairfax Financial Holdings Ltd.,"January 20, 2015",3:00 PM,4:30 PM,TC 2218 ,co-op.fairfax.ca,Co-op Students,"MATH - Actuarial Science, ALL - MATH faculty, ALL - ENG faculty, ALL - ARTS faculty","The Fairfax Co-op Program offers exciting domestic and international opportunities through our network of companies.  With an extensive list of positions in a variety of fields and industries, there is something everyone.  Join us at our information session to learn about our open co-op positions, meet with business leaders, and hear from past co-op students and recent alumni.   "
2784,eSentire Inc.,"January 20, 2015",7:00 PM,8:30 PM,Bombshelter,www.esentire.com,Co-op and Graduating Students,"MATH - Computer Science, ENG - System Design, ENG - Software, ENG - Computer","At eSentire, we offer practical & pragmatic security solutions to help guard the intellectual property & infrastructure of enterprises. As a Managed Security Service Provider (MSSP), eSentire specializes in the delivery of comprehensive security consulting & continuous security monitoring services. As a MSSP, eSentire has independence & credibility that set it apart from its competitors. Our crucial distinction stems from: unlike many large companies whose primary business is integration, implementation, or product sales that address security as a sideline, eSentire focuses excludively on managed security issues on a daily basis & has done so since 2001. Over the last year eSentire has seen substantial growth & recognition for our leadership in the Information Security field."
2773,Bazaarvoice,"January 21, 2015",11:30 AM,1:30 PM,Fed Hall- Multi Purpose Room A,www.bazaarvoice.com/careers/livebv,Co-op and Graduating Students,"MATH - Computer Science, ENG - Software, ENG - Computer","Bazaarvoice is based on a simple truth; when people talk to each other, people buy stuff they are happy about because they trust the opinions of others. We have built a network that amplifies the authentic voices of consumers.Each month, more than 400 million people view and share authentic opinions, questions and experiences about 20 million products in the Bazaarvoice network. We help businesses gain access to a wider audience of shoppers and trusted consumer content to improve sales and marketing. Insights from our network data help provide more engaging experiences, drive product innovation, and build brand advocates and loyalty."
2931,Citadel,"January 21, 2015",5:00 PM,7:00 PM,DC 1301,www.citadel.com/,Co-op and Graduating Students,"SCI - Physics, MATH - Computer Science, MATH - Applied Mathematics, ENG - Electrical, ENG - Computer",Info session also open to regular students looking for summer work.Please join us at our tech talk to learn about the many career opportunities available at Citadel!
2768,Polar,"January 21, 2015",7:30 PM,9:30 PM,TC 2218 ,www.polar.me,Co-op Students,"MATH - Computer Science, ENG - Software, ENG - Electrical, ENG - Computer",
2817,Zynga,"January 22, 2015",11:30 AM,1:30 PM,TC 2218 ,www.zynga.com,Co-op and Graduating Students,"SCI - Science & Business, ALL - MATH faculty, ALL - ENG faculty, ENV - Environment & Business","Zynga is looking for bright, passionate students and new grads across all disciplines to immerse in an environment centered on collaboration, experimentation, and most importantly, fun. If you\'re ready to write the first chapter of your career as a game maker, apply now."
2935,Apotex,"January 22, 2015",5:00 PM,7:00 PM,Fed Hall - Multipurpose Room A,www.apotex.ca,Co-op Students,"SCI - Environmental Science, ENG - Nanotechnology, ENG - Mechanical, ENG - Electrical, ENG - Chemical","For 40 years, Apotex has been a trusted name in the Canadian pharmaceutical community, providing patients around the globe with increased access to quality, affordable medicines. Since our founding, we have been dedicated to maintaining sustainable, state-of-the-art processes-processes that ensure our products meet the highest quality and safety standards in all markets.Come join us at our informatin session to learn more about our co-op opportunities!"
2794,Microsoft,"January 22, 2015",7:30 PM,9:30 PM,DC 1301 ,www.microsoft.com/university,Co-op and Graduating Students,"ALL - MATH faculty, ALL - ENG faculty",
2814,Genesys Telecommunications Lab,"January 23, 2015",11:30 AM,1:30 PM,DC 1301 ,www.genesys.com/,Co-op and Graduating Students,"MATH - Computer Science, ENG - System Design, ENG - Computer, ALL - ENG faculty, ARTS - Arts & Business","Join Genesys and save the world from bad customer service. Genesys is the world\'s leading provider of customer service and contact software - with more than 2,000 customers in 80 countries. We invite co-op students of all levels to come out to this information session where you will have the opportunity to ask current and past co-ops as well as employers and current engineers about the different positions that are available. Please RSVP soon; pizza and drinks will be provided and swag will be given out."
2897,Protiviti,"January 26, 2015",11:30 AM,1:30 PM,DC 1301 ,www.protiviti.com,Graduating Students,"MATH - Information Technology Management, MATH - Financial Analysis & Risk Management, MATH - Computing & Financial Management, MATH - Computer Science",
2801,"Nest Labs, Inc.","January 26, 2015",11:30 AM,1:30 PM,TC 2218 ,www.nest.com,Co-op Students,"ENG - Software, ENG - Mechatronics, ENG - Mechanical, ENG - Electrical, ENG - Computer",
2771,"Kik Interactive, Inc.","January 26, 2015",5:00 PM,7:00 PM,Bombshelter,www.kik.com,Co-op and Graduating Students,"MATH - Computer Science, ENG - System Design, ENG - Software, ENG - Computer, ALL - ENG faculty","When you work at Kik, the decisions you make and the innovations you create will be seen and used by millions of people around the world.We work like crazy to create simple but perfect products, platforms, and tools. We only hire the best: people that are unusually smart, have a reputation for getting it done, and want to work at Kik for the opportunity to change the world."
2792,Pinterest,"January 26, 2015",7:30 PM,9:30 PM,Bombshelter,about.pinterest.com/en/careers/engineering-product,Co-op and Graduating Students,"MATH - Computer Science, ENG - Software, ENG - Computer",
2893,Lightspeed Venture Partners*,"January 27, 2015",2:30 PM,4:30 PM,TBD*,,Co-op and Graduating Students,"MATH - Computer Science, ALL - ENG faculty",
2696,Yelp,"January 27, 2015",5:00 PM,7:00 PM,DC 1302,www.yelp.com,Co-op and Graduating Students,"ENG - Software, ENG - Computer, MATH - Computer Science",Yelp Technical Talk
2781,Riot Games,"January 27, 2015",7:30 PM,9:30 PM,Fed Hall - Multi Purpose Room A,www.riotgames.com,Co-op Students,"MATH - Computer Science, ENG - System Design, ENG - Software, ENG - Mechatronics, ENG - Computer",Info session discussing summer internship opportunities at Riot Games.
2861,Stripe*,"January 28, 2015",2:30 PM,4:30 PM,TBD*,www.stripe.com,Co-op and Graduating Students,"MATH - Computer Science, ENG - Software, ENG - Computer","Stripe is the easiest way to accept credit card payments on your website or mobile app. With Stripe, you can create the payment experience you want in minutes, and Stripe will take care of all the heavy lifting, including security and daily transfers to your bank account. Stripe powers payments for thousands of businesses of every size--from start-ups to Fortune 50 companies. Stripes investors include PayPal co-founders Peter Thiel, Max Levchin, and Elon Musk, Sequoia Capital and Andreessen Horowitz."
2939,PDT Partners,"January 28, 2015",5:00 PM,7:00 PM,TC 2218 ,www.pdtpartners.com/,Co-op Students,"MATH - Computer Science, ENG - System Design, ENG - Software, ENG - Mechatronics, ENG - Computer",
2743,Apple,"January 28, 2015",7:30 PM,9:30 PM,Fed Hall - Main Space,apple.com/students,Co-op and Graduating Students,"MATH - Computer Science, ENG - Software, ENG - Electrical, ENG - Computer",
2806,CI Investment,"January 29, 2015",11:30 AM,1:30 PM,Fed Hall- Multi Purpose Room A & B,www.ci.com,Co-op and Graduating Students,"MATH - Financial Analysis & Risk Management, MATH - Business Administration, ALL - MATH faculty, ARTS - Accounting & Financial Management, ARTS - Financial Management",
