Exam,Section(s),Day,Date,Start,Finish,Location,
MATH  117,001,Thursday,"August 3, 2017",4:00 PM,6:30 PM,MC 4041,
MATH  118,001 to 004,Wednesday,"August 2, 2017",12:30 PM,3:00 PM,"PAC 4,5,6,7",
MATH  119,"001,002",Monday,"July 31, 2017",12:30 PM,3:00 PM,"PAC 4,5,6",
MATH  127,001,Monday,"July 31, 2017",4:00 PM,6:30 PM,MC 4045,
MATH  127,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
MATH  128,001,Wednesday,"August 2, 2017",4:00 PM,6:30 PM,MC 1085,
MATH  128,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
MATH  128,082 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
MATH  135,001,Monday,"July 31, 2017",7:30 PM,10:00 PM,"PAC 1,2",
MATH  136,001 to 003,Tuesday,"August 1, 2017",4:00 PM,6:30 PM,"PAC 1,2,3",
MATH  136,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
MATH  137,001,Friday,"July 28, 2017",9:00 AM,11:30 AM,MC 4040,
MATH  138,"001,002",Friday,"July 28, 2017",7:30 PM,10:00 PM,"PAC 7,8",
MATH  207,001,Monday,"July 31, 2017",9:00 AM,11:30 AM,PAC 11,
MATH  213,001,Friday,"August 4, 2017",4:00 PM,6:30 PM,Sched Only,
MATH  218,001,Monday,"July 31, 2017",7:30 PM,10:00 PM,PAC 8,
MATH  225,001,Thursday,"August 10, 2017",7:30 PM,10:00 PM,MC 4045,
MATH  228,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
MATH  235,001 to 003,Tuesday,"August 8, 2017",12:30 PM,3:00 PM,"PAC 4,5,6",
MATH  235,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
MATH  237,001 to 003,Friday,"August 4, 2017",12:30 PM,3:00 PM,"PAC 4,5,6,7",
MATH  239,001 to 004,Tuesday,"August 1, 2017",9:00 AM,11:30 AM,"PAC 4,5,6,7,8",
MATH  245,001,Tuesday,"August 8, 2017",12:30 PM,3:00 PM,PAC 1,
MATH  247,001,Friday,"August 4, 2017",9:00 AM,11:30 AM,PAC 8,
ME  101,001,Friday,"July 28, 2017",9:00 AM,11:30 AM,PAC 8,
ME  115,001,Wednesday,"August 9, 2017",12:30 PM,3:00 PM,PAC 7,
ME  203,001,Thursday,"August 10, 2017",9:00 AM,11:30 AM,Sched Only,
ME  212,001,Tuesday,"August 8, 2017",9:00 AM,11:30 AM,Sched Only,
ME  219,001,Wednesday,"August 2, 2017",9:00 AM,11:30 AM,Sched Only,
ME  220,001,Friday,"July 28, 2017",9:00 AM,11:30 AM,Sched Only,
ME  250,001,Thursday,"August 3, 2017",9:00 AM,11:30 AM,Sched Only,
ME  262,001,Tuesday,"August 1, 2017",9:00 AM,11:30 AM,Sched Only,
ME  303,001,Monday,"July 31, 2017",9:00 AM,11:30 AM,Sched Only,
ME  321,001,Friday,"August 11, 2017",9:00 AM,11:30 AM,Sched Only,
ME  321,002,Wednesday,"August 2, 2017",12:30 PM,3:00 PM,Sched Only,
ME  340,001,Friday,"August 4, 2017",9:00 AM,11:30 AM,Sched Only,
ME  351,001,Wednesday,"August 2, 2017",9:00 AM,11:30 AM,Sched Only,
ME  354,001,Wednesday,"August 9, 2017",9:00 AM,11:30 AM,Sched Only,
ME  436,001,Tuesday,"August 1, 2017",12:30 PM,3:00 PM,Sched Only,
ME  456,001,Tuesday,"August 1, 2017",12:30 PM,3:00 PM,Sched Only,
ME  459,001,Tuesday,"August 8, 2017",9:00 AM,11:30 AM,Sched Only,
ME  548,001,Saturday,"July 29, 2017",7:30 PM,10:00 PM,Sched Only,
ME  559,001,Wednesday,"August 2, 2017",12:30 PM,3:00 PM,Sched Only,
ME  561,001,Friday,"July 28, 2017",9:00 AM,11:30 AM,Sched Only,
ME  566,001,Friday,"July 28, 2017",7:30 PM,10:00 PM,Sched Only,
ME  599,001,Friday,"August 4, 2017",9:00 AM,11:30 AM,Sched Only,
ME  760,001,Friday,"August 4, 2017",9:00 AM,11:30 AM,Sched Only,
MNS  221,001,Wednesday,"August 9, 2017",12:30 PM,3:00 PM,Sched Only,
MNS  321,001,Friday,"July 28, 2017",9:00 AM,11:30 AM,PAC 11,
MSCI  261,"001,003",Tuesday,"August 1, 2017",4:00 PM,6:30 PM,"PAC 7,8",
MSCI  261,002,Wednesday,"August 2, 2017",4:00 PM,6:30 PM,"MC 4059,4061",
MSCI  263,"001,002",Saturday,"July 29, 2017",12:30 PM,3:00 PM,PAC 2,
MSCI  331,"001,002",Monday,"July 31, 2017",4:00 PM,6:30 PM,"PAC 9,10,11",
MSCI  346,001,Friday,"August 4, 2017",12:30 PM,3:00 PM,MC 4061,
MSCI  445,001,Tuesday,"August 8, 2017",12:30 PM,3:00 PM,Sched Only,
MSCI  452,001,Monday,"July 31, 2017",9:00 AM,11:30 AM,Sched Only,
MSCI  531,001,Friday,"July 28, 2017",12:30 PM,3:00 PM,Sched Only,
MSCI  551,001,Wednesday,"August 2, 2017",7:30 PM,10:00 PM,PAC 8,
MTE  111,001,Monday,"July 31, 2017",12:30 PM,3:00 PM,PAC 3,
MTE  119,001,Friday,"August 4, 2017",4:00 PM,6:30 PM,"MC 4059,4061",
MTE  120,001,Wednesday,"August 9, 2017",12:30 PM,3:00 PM,PAC 8,
MTE  140,001,Friday,"July 28, 2017",7:30 PM,10:00 PM,PAC 5,
MTE  203,001,Thursday,"August 3, 2017",12:30 PM,3:00 PM,Sched Only,
MTE  204,001,Tuesday,"August 1, 2017",12:30 PM,3:00 PM,Sched Only,
MTE  220,001,Friday,"July 28, 2017",12:30 PM,3:00 PM,Sched Only,
MTE  241,001,Tuesday,"August 8, 2017",12:30 PM,3:00 PM,Sched Only,
MTE  309,001,Friday,"August 11, 2017",12:30 PM,3:00 PM,Sched Only,
MTE  320,001,Wednesday,"August 9, 2017",12:30 PM,3:00 PM,Sched Only,
MTE  325,001,Tuesday,"August 1, 2017",9:00 AM,11:30 AM,Sched Only,
MTHEL  131,001,Thursday,"August 10, 2017",12:30 PM,3:00 PM,PAC 4,
MUSIC  100,001,Monday,"July 31, 2017",12:30 PM,3:00 PM,Sched Only,
MUSIC  140,001,Friday,"August 11, 2017",12:30 PM,3:00 PM,Sched Only,
NE  217,001,Wednesday,"August 2, 2017",12:30 PM,3:00 PM,"MC 4059,4061",
NE  225,001,Monday,"July 31, 2017",12:30 PM,3:00 PM,PAC 7,
NE  226,001,Friday,"August 4, 2017",12:30 PM,3:00 PM,PAC 8,
NE  242,001,Tuesday,"August 8, 2017",9:00 AM,11:30 AM,"PAC 9,10",
NE  301,001,Tuesday,"August 1, 2017",4:00 PM,5:30 PM,"MC 4059,4061",
NE  318,001,Wednesday,"August 2, 2017",9:00 AM,11:30 AM,"MC 2034,2035",
NE  333,001,Tuesday,"August 8, 2017",12:30 PM,3:00 PM,PAC 7,
NE  334,001,Thursday,"August 3, 2017",12:30 PM,3:00 PM,PAC 8,
NE  343,001,Thursday,"August 10, 2017",12:30 PM,3:00 PM,PAC 5,
NE  344,001,Friday,"July 28, 2017",9:00 AM,11:30 AM,DC 1351,
PACS  201,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
PACS  202,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
PHIL  145,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
PHIL  202,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
