Exam,Section(s),Day,Date,Start,Finish,Location,,,,,,
BUS 362W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,
BUS 385W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,
BUS 387W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,
BUS 393W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,
BUS 397W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,
BUS 408W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,
BUS 413W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,
BUS 423W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,
BUS 429W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,
BUS 451W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,
BUS 467W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,
BUS 473W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,
BUS 477W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,
BUS 481W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,
BUS 486W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,
BUS 487W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,
BUS 497JW,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,
BUS 497KW,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,
CHE 100,001,Saturday,"December 10, 2016",12:30 PM,3:00 PM,M3 1006,,,,,,
CHE 102,001 to 012,Monday,"December 19, 2016",12:30 PM,3:00 PM,"PAC 1,2,3,4,5,6,7,8,9,10,11,12
DC 1350,1351, MC 4020,4021",,,,,,
CHE 200,001,Thursday,"December 8, 2016",9:00 AM,11:30 AM,MC 4020,,,,,,
CHE 211,001,Saturday,"December 10, 2016",12:30 PM,3:00 PM,MC 1085,,,,,,
CHE 220,001,Friday,"December 16, 2016",12:30 PM,3:00 PM,MC 4020,,,,,,
CHE 230,001,Wednesday,"December 14, 2016",9:00 AM,11:30 AM,MC 4059,,,,,,
CHE 231,001,Thursday,"December 8, 2016",9:00 AM,11:30 AM,MC 4021,,,,,,
CHE 241,001,Tuesday,"December 13, 2016",9:00 AM,11:30 AM,STC 0010,,,,,,
