Exam,Section(s),Day,Date,Start,End,Location,,,,,,,,,,
BUS 121W,,Wednesday,"April 12, 2017",7:30 PM,10:00 PM,"PAC 4,5,6",,,,,,,,,,
BUS 127W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
BUS 231W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
BUS 247W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
BUS 352W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
BUS 353W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
BUS 354W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
BUS 357W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
BUS 362W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
BUS 385W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
BUS 387W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
BUS 393W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
BUS 395W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
BUS 397W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
BUS 398W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
BUS 403W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
BUS 413W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
BUS 418W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
BUS 419W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
BUS 423W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
BUS 433W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
BUS 435W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
BUS 443W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
BUS 448W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
BUS 449W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
BUS 451W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
BUS 453W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
