Exam,Section(s),Day,Date,Start,End,Location,,,,,,,,,,
GEOG 325,001,Monday,"April 17, 2017",4:00 PM,6:30 PM,"DC 1350,1351",,,,,,,,,,
GEOG 368,001,Tuesday,"April 11, 2017",4:00 PM,6:30 PM,"PAC 4,5",,,,,,,,,,
GEOG 407,001,Tuesday,"April 11, 2017",9:00 AM,11:30 AM,MC 4040,,,,,,,,,,
GER 101,001 to 003,Thursday,"April 20, 2017",7:30 PM,10:00 PM,TBA,,,,,,,,,,
GER 101,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
GER 102,"001,002",Monday,"April 10, 2017",7:30 PM,10:00 PM,TBA,,,,,,,,,,
GER 102,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
GER 201,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
GER 202,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
GER 359,001,Friday,"April 7, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
GERON 245,001,Thursday,"April 13, 2017",4:00 PM,6:30 PM,"STC 0060,1012",,,,,,,,,,
GERON 352,001,Tuesday,"April 18, 2017",4:00 PM,5:30 PM,STC 1012,,,,,,,,,,
GERON 355,001,Tuesday,"April 11, 2017",9:00 AM,11:30 AM,"STC 0060,1012",,,,,,,,,,
GRK 102,001,Monday,"April 10, 2017",9:00 AM,11:00 AM,TBA,,,,,,,,,,
GRK 202,001,Friday,"April 7, 2017",9:00 AM,11:00 AM,TBA,,,,,,,,,,
GRK 341,001,Friday,"April 7, 2017",12:30 PM,2:30 PM,MC 4042,,,,,,,,,,
GRK 490,001,Friday,"April 7, 2017",12:30 PM,2:30 PM,MC 4042,,,,,,,,,,
GRK 600,001,Friday,"April 7, 2017",12:30 PM,2:30 PM,MC 4042,,,,,,,,,,
HIST 102,001,Friday,"April 7, 2017",4:00 PM,6:30 PM,TBA,,,,,,,,,,
HIST 103,001,Friday,"April 7, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
HIST 111,001,Saturday,"April 8, 2017",4:00 PM,6:30 PM,TBA,,,,,,,,,,
HIST 113,001,Thursday,"April 20, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
HIST 230,001,Monday,"April 17, 2017",7:30 PM,10:00 PM,TBA,,,,,,,,,,
HIST 232,001,Friday,"April 7, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
HIST 252,001,Thursday,"April 13, 2017",12:30 PM,2:30 PM,MC 4045,,,,,,,,,,
HIST 263,001,Wednesday,"April 12, 2017",4:00 PM,6:30 PM,TBA,,,,,,,,,,
HIST 275,001,Tuesday,"April 11, 2017",4:00 PM,6:30 PM,TBA,,,,,,,,,,
HIST 291,001,Monday,"April 17, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
HIST 304,001,Friday,"April 7, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
HIST 321,001,Friday,"April 7, 2017",7:30 PM,10:00 PM,TBA,,,,,,,,,,
HIST 348,001,Monday,"April 10, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
HIST 369,001,Exam removed from the schedule. Contact instructor for further information,,,,,,,,,,,,,,
HIST 380,001,Friday,"April 7, 2017",4:00 PM,6:30 PM,TBA,,,,,,,,,,
HLTH 102,"001,002",Monday,"April 24, 2017",12:30 PM,3:00 PM,"PAC 1,2,3",,,,,,,,,,
HLTH 230,001,Saturday,"April 22, 2017",4:00 PM,6:30 PM,"PAC 4,5,6",,,,,,,,,,
HLTH 245,001,Thursday,"April 13, 2017",4:00 PM,6:30 PM,"STC 0060,1012",,,,,,,,,,
HLTH 273,002,Wednesday,"April 12, 2017",7:30 PM,10:00 PM,MC 4040,,,,,,,,,,
HLTH 280,001,Wednesday,"April 19, 2017",4:00 PM,5:30 PM,DC 1351,,,,,,,,,,
HLTH 340,001,Monday,"April 10, 2017",9:00 AM,11:00 AM,"MC 2034,2035",,,,,,,,,,
HLTH 352,001,Tuesday,"April 18, 2017",4:00 PM,5:30 PM,STC 1012,,,,,,,,,,
HLTH 370,001,Monday,"April 17, 2017",4:00 PM,6:30 PM,"DC 1350,1351",,,,,,,,,,
HLTH 433,001,Wednesday,"April 12, 2017",12:30 PM,3:00 PM,MC 1085,,,,,,,,,,
HLTH 451,001,Tuesday,"April 11, 2017",7:30 PM,10:00 PM,TBA,,,,,,,,,,
HLTH 620,005,Tuesday,"April 11, 2017",7:30 PM,10:00 PM,TBA,,,,,,,,,,
HRM 200,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
HRM 301,001,Monday,"April 10, 2017",9:00 AM,11:00 AM,MC 2038,,,,,,,,,,
HRM 303,001,Wednesday,"April 19, 2017",4:00 PM,6:00 PM,MC 4042,,,,,,,,,,
HRM 307,001,Tuesday,"April 11, 2017",12:30 PM,2:30 PM,PAC 8,,,,,,,,,,
HUMSC 102,001,Saturday,"April 8, 2017",7:30 PM,10:00 PM,TBA,,,,,,,,,,
INDEV 101,001,Thursday,"April 13, 2017",7:30 PM,10:00 PM,MC 2035,,,,,,,,,,
INDEV 300,001,Monday,"April 10, 2017",12:30 PM,3:00 PM,MC 4045,,,,,,,,,,
INTEG 275,001,Monday,"April 17, 2017",9:00 AM,11:30 AM,MC 4045,,,,,,,,,,
INTST 101,001,Tuesday,"April 18, 2017",9:00 AM,11:00 AM,DC 1350,,,,,,,,,,
JAPAN 101R,"001,002",Monday,"April 24, 2017",7:30 PM,9:30 PM,TBA,,,,,,,,,,
JAPAN 101R,003 to 005,Monday,"April 24, 2017",7:30 PM,9:30 PM,TBA,,,,,,,,,,
JAPAN 102R,001,Saturday,"April 8, 2017",12:30 PM,2:30 PM,TBA,,,,,,,,,,
JAPAN 201R,001,Friday,"April 7, 2017",7:30 PM,9:30 PM,TBA,,,,,,,,,,
JAPAN 202R,001,Tuesday,"April 11, 2017",4:00 PM,6:30 PM,TBA,,,,,,,,,,
JAPAN 301R,001,Monday,"April 24, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
JS 215,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
KIN 100,001,Friday,"April 21, 2017",12:30 PM,3:00 PM,"PAC 4,5,6,11",,,,,,,,,,
KIN 100L,001 to 010,Friday,"April 21, 2017",7:30 PM,10:00 PM,M3 1006,,,,,,,,,,
KIN 101,001 to 018,Friday,"April 7, 2017",12:30 PM,3:00 PM,"STC 0050,0060,1012",,,,,,,,,,
KIN 205,001,Friday,"April 7, 2017",9:00 AM,11:30 AM,DC 1351,,,,,,,,,,
KIN 242,001,Monday,"April 10, 2017",4:00 PM,6:30 PM,"STC 0050,0060",,,,,,,,,,
KIN 307,001,Tuesday,"April 11, 2017",12:30 PM,3:00 PM,MC 4064,,,,,,,,,,
KIN 330,001,Wednesday,"April 12, 2017",4:00 PM,6:30 PM,"PAC 1,2",,,,,,,,,,
KIN 332,001,Wednesday,"April 12, 2017",9:00 AM,11:30 AM,DC 1350,,,,,,,,,,
KIN 342,001,Thursday,"April 13, 2017",7:30 PM,10:00 PM,MC 2017,,,,,,,,,,
KIN 352,001,Tuesday,"April 18, 2017",4:00 PM,5:30 PM,STC 1012,,,,,,,,,,
KIN 356,001,Thursday,"April 20, 2017",4:00 PM,6:00 PM,PAC 8,,,,,,,,,,
KIN 402,001,Monday,"April 24, 2017",9:00 AM,11:00 AM,MC 4041,,,,,,,,,,
KIN 408,001,Monday,"April 17, 2017",9:00 AM,11:30 AM,STC 1012,,,,,,,,,,
KIN 415,001,Tuesday,"April 11, 2017",7:30 PM,10:00 PM,PAC 12,,,,,,,,,,
KIN 420,001,Exam removed from the schedule. Contact instructor for further information,,,,,,,,,,,,,,
KIN 446,001,Exam removed from the schedule. Contact instructor for further information,,,,,,,,,,,,,,
KIN 646,001,Exam removed from the schedule. Contact instructor for further information,,,,,,,,,,,,,,
LAT 102,001,Monday,"April 17, 2017",9:00 AM,11:00 AM,MC 4063,,,,,,,,,,
LAT 202,001,Tuesday,"April 11, 2017",9:00 AM,11:00 AM,MC 4064,,,,,,,,,,
LS 101,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
LS 202,002,Tuesday,"April 11, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
LS 206,001,Friday,"April 7, 2017",7:30 PM,10:00 PM,MC 4021,,,,,,,,,,
LS 222,001,Wednesday,"April 19, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
LS 227,001,Monday,"April 24, 2017",9:00 AM,11:00 AM,MC 1085,,,,,,,,,,
LS 229,001,Thursday,"April 13, 2017",9:00 AM,11:00 AM,TBA,,,,,,,,,,
LS 229,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
LS 240,001,Monday,"April 17, 2017",9:00 AM,11:00 AM,TBA,,,,,,,,,,
LS 263,001,Monday,"April 10, 2017",12:30 PM,2:30 PM,STC 1012,,,,,,,,,,
LS 271,001,Saturday,"April 22, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
LS 283,001,Tuesday,"April 18, 2017",7:30 PM,9:30 PM,"PAC 4,5",,,,,,,,,,
LS 300,001,Saturday,"April 22, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
LS 327,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
LS 331,001,Friday,"April 7, 2017",7:30 PM,10:00 PM,TBA,,,,,,,,,,
MATBUS 470,001,Tuesday,"April 11, 2017",12:30 PM,3:00 PM,"MC 2034,2035",,,,,,,,,,
MATBUS 471,001,Monday,"April 10, 2017",4:00 PM,6:30 PM,MC 1085,,,,,,,,,,
MATBUS 472,001,Friday,"April 7, 2017",12:30 PM,3:00 PM,MC 2017,,,,,,,,,,
MATH 103,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
MATH 104,001,Saturday,"April 22, 2017",7:30 PM,10:00 PM,PAC 5,,,,,,,,,,
MATH 104,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
MATH 106,001,Monday,"April 10, 2017",12:30 PM,3:00 PM,"MC 2017,2054",,,,,,,,,,
MATH 118,001 to 005,Monday,"April 10, 2017",12:30 PM,3:00 PM,"PAC 1,2,3,7,8",,,,,,,,,,
MATH 119,001 to 003,Friday,"April 7, 2017",7:30 PM,10:00 PM,"PAC 1,2,3,4",,,,,,,,,,
MATH 127,001 to 003,Friday,"April 7, 2017",7:30 PM,10:00 PM,"PAC 5,6,11",,,,,,,,,,
MATH 127,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
MATH 128,001 to 007,Friday,"April 7, 2017",12:30 PM,3:00 PM,"PAC 1,2,3,4,5,6,11",,,,,,,,,,
MATH 128,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
MATH 135,001 to 010,Monday,"April 10, 2017",7:30 PM,10:00 PM,"PAC 1,2,3,4,5,6,11",,,,,,,,,,
MATH 136,001 to 009,Monday,"April 10, 2017",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8,11,12, DC 1351",,,,,,,,,,
MATH 136,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
MATH 137,001 to 003,Friday,"April 7, 2017",7:30 PM,10:00 PM,"PAC 7,8",,,,,,,,,,
MATH 138,"001 to 004,
006 to 009",Friday,"April 7, 2017",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8,11,12
MC 4020,4021,4045,4059,4061",,,,,,,,,,
MATH 138,005,Friday,"April 7, 2017",9:00 AM,11:30 AM,"MC 2017,2054",,,,,,,,,,
MATH 146,"001,002",Monday,"April 10, 2017",12:30 PM,3:00 PM,DC 1351,,,,,,,,,,
MATH 148,"001,002",Friday,"April 7, 2017",12:30 PM,3:00 PM,M3 1006,,,,,,,,,,
MATH 207,001,Tuesday,"April 11, 2017",12:30 PM,3:00 PM,MC 2038,,,,,,,,,,
MATH 215,"001,002",Monday,"April 17, 2017",12:30 PM,3:00 PM,STC 1012,,,,,,,,,,
MATH 217,001,Monday,"April 17, 2017",12:30 PM,3:00 PM,PAC 8,,,,,,,,,,
MATH 225,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
MATH 228,001,Monday,"April 24, 2017",7:30 PM,10:00 PM,MC 4042,,,,,,,,,,
MATH 235,"001,002",Wednesday,"April 19, 2017",12:30 PM,3:00 PM,"PAC 4,5,6",,,,,,,,,,
MATH 237,"001,002",Friday,"April 7, 2017",9:00 AM,11:30 AM,"STC 0010,0020,0040",,,,,,,,,,
MATH 239,001 to 003,Tuesday,"April 11, 2017",9:00 AM,11:30 AM,"PAC 1,2,3,4",,,,,,,,,,
MATH 247,001,Monday,"April 24, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
MATH 249,001,Tuesday,"April 11, 2017",9:00 AM,11:30 AM,MC 4045,,,,,,,,,,
ME 101,001,Friday,"April 21, 2017",9:00 AM,11:30 AM,DC 1350,,,,,,,,,,
ME 115,001,Monday,"April 17, 2017",9:00 AM,11:30 AM,DC 1351,,,,,,,,,,
ME 201,001,Tuesday,"April 18, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
ME 202,001,Thursday,"April 13, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
ME 219,001,Thursday,"April 20, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
ME 230,001,Friday,"April 7, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
ME 269,001,Tuesday,"April 11, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
ME 303,001,Tuesday,"April 11, 2017",4:00 PM,6:30 PM,TBA,,,,,,,,,,
ME 321,001,Friday,"April 7, 2017",4:00 PM,6:30 PM,TBA,,,,,,,,,,
ME 321,002,Monday,"April 17, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
ME 322,001,Friday,"April 21, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
ME 340,001,Tuesday,"April 18, 2017",4:00 PM,6:30 PM,TBA,,,,,,,,,,
ME 351,001,Thursday,"April 13, 2017",4:00 PM,6:30 PM,TBA,,,,,,,,,,
ME 351,002,Monday,"April 17, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
ME 353,001,Monday,"April 10, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
ME 354,001,Thursday,"April 20, 2017",4:00 PM,6:30 PM,TBA,,,,,,,,,,
ME 360,001,Wednesday,"April 12, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
ME 362,001,Wednesday,"April 19, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
ME 452,001,Wednesday,"April 12, 2017",7:30 PM,10:00 PM,TBA,,,,,,,,,,
ME 524,001,Monday,"April 10, 2017",7:30 PM,10:00 PM,TBA,,,,,,,,,,
ME 526,001,Monday,"April 17, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
ME 535,001,Thursday,"April 13, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
ME 538,001,Saturday,"April 8, 2017",7:30 PM,10:00 PM,TBA,,,,,,,,,,
ME 555,001,Tuesday,"April 18, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
ME 557,001,Wednesday,"April 19, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
ME 563,001,Friday,"April 21, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
ME 564,001,Monday,"April 24, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
ME 567,001,Monday,"April 10, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
ME 595,001,Friday,"April 7, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
ME 596,001,Wednesday,"April 19, 2017",4:00 PM,6:30 PM,TBA,,,,,,,,,,
ME 597,002,Monday,"April 10, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
ME 598,001,Friday,"April 7, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
ME 599,001,Saturday,"April 22, 2017",4:00 PM,6:30 PM,TBA,,,,,,,,,,
ME 599,002,Wednesday,"April 12, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
ME 760,001,Saturday,"April 22, 2017",4:00 PM,6:30 PM,TBA,,,,,,,,,,
MEDVL 105,001,Tuesday,"April 25, 2017",9:00 AM,11:00 AM,MC 4021,,,,,,,,,,
MEDVL 205,001,Thursday,"April 13, 2017",4:00 PM,6:00 PM,MC 1085,,,,,,,,,,
MEDVL 304,001,Friday,"April 7, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
MNS 102,001,Tuesday,"April 11, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
MNS 221,001,Monday,"April 10, 2017",9:00 AM,11:30 AM,MC 4045,,,,,,,,,,
MNS 322,001,Wednesday,"April 19, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
MNS 410,001,Thursday,"April 13, 2017",12:30 PM,3:00 PM,MC 4064,,,,,,,,,,
MNS 431,001,Saturday,"April 8, 2017",12:30 PM,3:00 PM,MC 4060,,,,,,,,,,
MSCI 121,001,Friday,"April 21, 2017",9:00 AM,11:30 AM,STC 0050,,,,,,,,,,
MSCI 131,001,Friday,"April 7, 2017",9:00 AM,11:30 AM,"MC 2034,2035",,,,,,,,,,
MSCI 211,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
MSCI 261,"001,002",Wednesday,"April 19, 2017",12:30 PM,3:00 PM,"PAC 1,2",,,,,,,,,,
MSCI 311,"001,002",Saturday,"April 22, 2017",9:00 AM,11:30 AM,"PAC 7,8",,,,,,,,,,
MSCI 331,001,Tuesday,"April 18, 2017",7:30 PM,10:00 PM,DC 1351,,,,,,,,,,
MSCI 334,001,Wednesday,"April 12, 2017",9:00 AM,11:30 AM,PAC 7,,,,,,,,,,
MSCI 423,001,Thursday,"April 13, 2017",7:30 PM,10:00 PM,MC 4041,,,,,,,,,,
MSCI 431,"001,002",Monday,"April 10, 2017",9:00 AM,11:30 AM,MC 1085,,,,,,,,,,
MSCI 432,001,Tuesday,"April 11, 2017",12:30 PM,3:00 PM,MC 1085,,,,,,,,,,
MSCI 433,001,Wednesday,"April 12, 2017",7:30 PM,10:00 PM,MC 4041,,,,,,,,,,
MSCI 541,001,Friday,"April 7, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
MSCI 555,001,Thursday,"April 20, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
MSCI 720,001,Friday,"April 7, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
MTE 111,001,Wednesday,"April 12, 2017",12:30 PM,3:00 PM,"PAC 11,12",,,,,,,,,,
MTE 119,001,Monday,"April 17, 2017",4:00 PM,6:30 PM,"MC 4059,4061",,,,,,,,,,
MTE 120,001,Friday,"April 7, 2017",12:30 PM,3:00 PM,DC 1351,,,,,,,,,,
MTE 140,001,Friday,"April 21, 2017",12:30 PM,3:00 PM,"PAC 7,8",,,,,,,,,,
MTE 201,001,Tuesday,"April 18, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
MTE 202,001,Thursday,"April 20, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
MTE 219,001,Friday,"April 7, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
MTE 262,001,Tuesday,"April 11, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
MTE 309,001,Friday,"April 7, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
MTE 320,001,Saturday,"April 8, 2017",7:30 PM,10:00 PM,TBA,,,,,,,,,,
MTE 322,001,Wednesday,"April 12, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
MTE 325,001,Wednesday,"April 12, 2017",4:00 PM,6:30 PM,"PAC 3,8",,,,,,,,,,
MTE 360,001,Monday,"April 10, 2017",4:00 PM,6:30 PM,TBA,,,,,,,,,,
MTHEL 131,001,Wednesday,"April 19, 2017",4:00 PM,6:00 PM,M3 1006,,,,,,,,,,
MUSIC 100,001,Friday,"April 21, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
MUSIC 246,001,Friday,"April 21, 2017",7:30 PM,10:00 PM,TBA,,,,,,,,,,
MUSIC 270,001,Monday,"April 24, 2017",7:30 PM,10:00 PM,TBA,,,,,,,,,,
MUSIC 361,001,Friday,"April 7, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
NE 113,001,Monday,"April 17, 2017",12:30 PM,3:00 PM,DC 1351,,,,,,,,,,
NE 122,001,Monday,"April 10, 2017",9:00 AM,11:30 AM,"MC 4020,4021",,,,,,,,,,
NE 125,001,Thursday,"April 13, 2017",9:00 AM,11:30 AM,"PAC 11,12",,,,,,,,,,
NE 131,001,Friday,"April 21, 2017",9:00 AM,11:30 AM,DC 1351,,,,,,,,,,
NE 469,001,Friday,"April 7, 2017",7:30 PM,10:00 PM,MC 4041,,,,,,,,,,
NE 469,002,Tuesday,"April 11, 2017",9:00 AM,11:30 AM,MC 4041,,,,,,,,,,
NE 479,001,Monday,"April 10, 2017",12:30 PM,3:00 PM,MC 4020,,,,,,,,,,
NE 479,002,Monday,"April 17, 2017",7:30 PM,10:00 PM,MC 4041,,,,,,,,,,
NE 489,001,Friday,"April 21, 2017",12:30 PM,2:30 PM,MC 4045,,,,,,,,,,
NE 499,001,Wednesday,"April 12, 2017",4:00 PM,6:30 PM,MC 4021,,,,,,,,,,
NE 499,002,Monday,"April 24, 2017",9:00 AM,11:30 AM,MC 4042,,,,,,,,,,
OPTOM 103,001,Wednesday,"April 19, 2017",9:00 AM,10:30 AM,REV 200,,,,,,,,,,
OPTOM 114,001,Monday,"April 17, 2017",9:00 AM,11:30 AM,REV 200,,,,,,,,,,
OPTOM 134,001,Friday,"April 21, 2017",9:00 AM,10:30 AM,REV 200,,,,,,,,,,
OPTOM 143,001,Wednesday,"April 12, 2017",9:00 AM,11:00 AM,REV 200,,,,,,,,,,
OPTOM 152,001,Monday,"April 10, 2017",9:00 AM,11:30 AM,REV 200,,,,,,,,,,
OPTOM 246,001,Wednesday,"April 19, 2017",12:30 PM,2:30 PM,REV 200,,,,,,,,,,
OPTOM 250,001,Friday,"April 7, 2017",4:00 PM,5:30 PM,REV 200,,,,,,,,,,
OPTOM 255,001,Monday,"April 24, 2017",9:00 AM,11:00 AM,REV 200,,,,,,,,,,
OPTOM 261,001,Wednesday,"April 12, 2017",12:30 PM,3:00 PM,REV 200,,,,,,,,,,
OPTOM 262,001,Monday,"April 17, 2017",12:30 PM,1:30 PM,REV 200,,,,,,,,,,
OPTOM 270,001,Monday,"April 10, 2017",12:30 PM,2:30 PM,REV 200,,,,,,,,,,
OPTOM 272,001,Friday,"April 21, 2017",12:30 PM,2:30 PM,REV 200,,,,,,,,,,
OPTOM 339,001,Friday,"April 7, 2017",9:00 AM,11:00 AM,REV 200,,,,,,,,,,
OPTOM 342B,001,Wednesday,"April 12, 2017",4:00 PM,6:30 PM,REV 200,,,,,,,,,,
OPTOM 365,001,Wednesday,"April 19, 2017",4:00 PM,6:30 PM,REV 200,,,,,,,,,,
OPTOM 367,001,Monday,"April 10, 2017",4:00 PM,6:30 PM,REV 200,,,,,,,,,,
OPTOM 377,001,Friday,"April 7, 2017",12:30 PM,3:00 PM,REV 200,,,,,,,,,,
OPTOM 385,001,Monday,"April 17, 2017",4:00 PM,6:30 PM,REV 200,,,,,,,,,,
PACS 201,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
PACS 202,001,Saturday,"April 22, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
PACS 203,001,Friday,"April 7, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
PHIL 100J,002,Wednesday,"April 12, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
PHIL 110B,001,Friday,"April 21, 2017",7:30 PM,10:00 PM,TBA,,,,,,,,,,
PHIL 110B,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
PHIL 145,002,Monday,"April 24, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
PHIL 145,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
PHIL 201,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
PHIL 207J,001,Thursday,"April 20, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
PHIL 215,001,Wednesday,"April 12, 2017",9:00 AM,11:30 AM,PAC 1,,,,,,,,,,
PHIL 215,002,Wednesday,"April 12, 2017",9:00 AM,11:30 AM,"PAC 2,3",,,,,,,,,,
PHIL 215,003,Wednesday,"April 12, 2017",9:00 AM,11:30 AM,PAC 4,,,,,,,,,,
PHIL 215,004,Wednesday,"April 12, 2017",9:00 AM,11:30 AM,PAC 5,,,,,,,,,,
PHIL 220,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
PHIL 221,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
PHIL 240,001,Saturday,"April 22, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
PHIL 256,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
PHIL 284,001,Friday,"April 7, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
PHIL 380,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
PHYS 111,"001,002",Monday,"April 24, 2017",4:00 PM,6:30 PM,"PAC 1,2,3,4,5",,,,,,,,,,
PHYS 111,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
PHYS 112,"001,002",Saturday,"April 22, 2017",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6",,,,,,,,,,
PHYS 112L,001 to 014,Monday,"April 17, 2017",7:30 PM,8:30 PM,"PAC 1,2,3,4,5",,,,,,,,,,
PHYS 121,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
PHYS 122,"001,002",Monday,"April 24, 2017",9:00 AM,11:30 AM,"PAC 1,2,3",,,,,,,,,,
PHYS 122L,001 to 005,Monday,"April 17, 2017",7:30 PM,8:30 PM,PAC 7,,,,,,,,,,
PHYS 124,001,Wednesday,"April 12, 2017",12:30 PM,3:00 PM,STC 1012,,,,,,,,,,
PHYS 125,001,Monday,"April 17, 2017",9:00 AM,11:30 AM,"MC 2034,2035",,,,,,,,,,
PHYS 132L,001 to 007,Monday,"April 17, 2017",7:30 PM,8:30 PM,"PAC 11,12",,,,,,,,,,
PHYS 175,001,Friday,"April 21, 2017",9:00 AM,11:30 AM,"PAC 5,6",,,,,,,,,,
PHYS 233,001,Tuesday,"April 18, 2017",7:30 PM,10:00 PM,TBA,,,,,,,,,,
PHYS 239,001,Exam removed from the schedule. Contact instructor for further information,,,,,,,,,,,,,,
