Exam,Section,Day,Date,Start,End,Location
CS 486,001,Wednesday,"August 3, 2011",4:00 PM,6:30 PM,PAC 1
CS 488,001,Wednesday,"August 3, 2011",9:00 AM,11:30 AM,PAC 3
CS 646,001,Tuesday,"August 2, 2011",12:30 PM,3:00 PM,"PAC 7,8"
CS 652,001,Friday,"August 12, 2011",9:00 AM,11:30 AM,DC 2111
CS 654,001,Thursday,"August 11, 2011",7:30 PM,10:00 PM,PAC 3
CS 656,"001,002",Wednesday,"August 10, 2011",4:00 PM,6:30 PM,PAC 4
CS 666,001,Saturday,"August 13, 2011",12:30 PM,3:00 PM,PAC 6
CS 682,001,Monday,"August 8, 2011",12:30 PM,3:00 PM,PAC 10
CS 686,001,Wednesday,"August 3, 2011",4:00 PM,6:30 PM,PAC 1
CS 688,001,Wednesday,"August 3, 2011",9:00 AM,11:30 AM,PAC 3
EARTH 221,001,Thursday,"August 4, 2011",9:00 AM,11:30 AM,MC 4045
EARTH 232,001,Exam removed from the schedule.  Contact instructor for further information.,,,,
ECE 103,"001,002",Thursday,"August 4, 2011",9:00 AM,11:30 AM,"PAC 1,2,3"
ECE 106,"001,002",Tuesday,"August 2, 2011",9:00 AM,11:30 AM,"PAC 1,2,3"
ECE 124,"001,002",Saturday,"August 6, 2011",12:30 PM,3:00 PM,"PAC 4,5,6"
ECE 150,001,Friday,"August 5, 2011",12:30 PM,3:00 PM,PAC 9
ECE 155,"001,002",Monday,"August 8, 2011",9:00 AM,11:30 AM,"DC 1350,1351"
ECE 207,001,Tuesday,"August 2, 2011",9:00 AM,11:30 AM,"MC 2034,2035"
ECE 209,001,Thursday,"August 11, 2011",7:30 PM,10:00 PM,PAC 6
ECE 222,001,Tuesday,"August 2, 2011",9:00 AM,11:30 AM,"MC 4020,4021"
ECE 224,001,Monday,"August 8, 2011",9:00 AM,11:30 AM,"PAC 1,2,3"
ECE 242,001,Saturday,"August 6, 2011",12:30 PM,3:00 PM,DC 1350
ECE 254,001,Thursday,"August 4, 2011",9:00 AM,11:30 AM,MC 4044
ECE 309,001,Thursday,"August 4, 2011",9:00 AM,11:30 AM,"PAC 4,5"
ECE 309,002,Saturday,"August 6, 2011",9:00 AM,11:30 AM,"E5 3101,3102"
ECE 316,"001,002",Saturday,"August 6, 2011",4:00 PM,6:30 PM,"DC 1350,1351"
ECE 324,001,Monday,"August 8, 2011",9:00 AM,11:30 AM,"PAC 1,2,3"
ECE 325,001,Monday,"August 8, 2011",9:00 AM,11:30 AM,"PAC 1,2,3"
ECE 332,001,Thursday,"August 4, 2011",4:00 PM,6:30 PM,PAC 3
ECE 342,"001,002",Wednesday,"August 10, 2011",12:30 PM,3:00 PM,"PAC 1,2,3"
ECE 354,001,Saturday,"August 13, 2011",12:30 PM,3:00 PM,"PAC 11,12"
ECE 370,001,Friday,"August 12, 2011",9:00 AM,11:30 AM,"PAC 11,12"
ECE 411,001,Tuesday,"August 9, 2011",7:30 PM,10:00 PM,PAC 4
ECE 413,001,Saturday,"August 13, 2011",12:30 PM,3:00 PM,PAC 5
ECE 418,001,Wednesday,"August 10, 2011",7:30 PM,10:00 PM,PAC 5
ECE 419,001,Friday,"August 5, 2011",4:00 PM,6:30 PM,MC 4041
ECE 428,001,Thursday,"August 4, 2011",4:00 PM,6:30 PM,PAC 1
ECE 429,001,Wednesday,"August 10, 2011",12:30 PM,3:00 PM,PAC 6
ECE 432,001,Saturday,"August 13, 2011",4:00 PM,6:30 PM,PAC 6
ECE 445,001,Friday,"August 5, 2011",7:30 PM,10:00 PM,PAC 4
ECE 452,001,Tuesday,"August 2, 2011",12:30 PM,3:00 PM,"PAC 7,8"
ECE 454,001,Tuesday,"August 9, 2011",12:30 PM,3:00 PM,PAC 5
ECE 455,001,Friday,"August 12, 2011",4:00 PM,6:30 PM,PAC 2
ECE 457A,001,Saturday,"August 13, 2011",7:30 PM,10:00 PM,PAC 4
ECE 463,001,Tuesday,"August 2, 2011",12:30 PM,3:00 PM,MC 1085
ECE 471,"001,002",Wednesday,"August 3, 2011",9:00 AM,11:30 AM,"PAC 1,2"
ECE 473,001,Saturday,"August 6, 2011",7:30 PM,10:00 PM,PAC 5
ECE 481,001,Thursday,"August 11, 2011",7:30 PM,10:00 PM,PAC 1
ECE 486,001,Monday,"August 8, 2011",7:30 PM,10:00 PM,PAC 7
ECE 750,004,Tuesday,"August 9, 2011",12:30 PM,3:00 PM,PAC 5
ECON 101,001,Tuesday,"August 9, 2011",12:30 PM,3:00 PM,"PAC 11,12"
ECON 101,002,Tuesday,"August 9, 2011",12:30 PM,2:30 PM,"MC 4020,4021"
ECON 102,001,Monday,"August 8, 2011",4:00 PM,6:00 PM,"PAC 4,5"
ECON 102,002,Monday,"August 8, 2011",4:00 PM,6:30 PM,"PAC 1,2,3"
ECON 102,003,Monday,"August 8, 2011",4:00 PM,6:00 PM,"PAC 7,8"
ECON 201,001,Tuesday,"August 9, 2011",12:30 PM,2:00 PM,DC 1350
ECON 201,002,Tuesday,"August 9, 2011",12:30 PM,2:00 PM,DC 1351
ECON 201,003,Tuesday,"August 9, 2011",12:30 PM,3:00 PM,PAC 3
ECON 202,001,Thursday,"August 11, 2011",4:00 PM,6:00 PM,PAC 7
ECON 202,002,Thursday,"August 11, 2011",4:00 PM,6:30 PM,"PAC 1,2"
ECON 202,003,Thursday,"August 11, 2011",4:00 PM,6:30 PM,"PAC 5,6"
