Exam,Section(s),Day,Date,Start,Finish,Location
GERON 320,001,Thursday,"December 7, 2017",4:00 PM,6:00 PM,TBA
GRK 101,001,Saturday,"December 9, 2017",12:30 PM,3:00 PM,TBA
GRK 201,001,Thursday,"December 7, 2017",12:30 PM,3:00 PM,TBA
HIST 102,001,Thursday,"December 21, 2017",4:00 PM,6:30 PM,Sched Only
HIST 103,001,Friday,"December 8, 2017",7:30 PM,9:30 PM,Sched Only
HIST 105,001,Tuesday,"December 12, 2017",7:30 PM,10:00 PM,Sched Only
HIST 113,001,Friday,"December 15, 2017",12:30 PM,3:00 PM,Sched Only
HIST 115,001,Friday,"December 15, 2017",7:30 PM,10:00 PM,Sched Only
HIST 221,001,Wednesday,"December 13, 2017",12:30 PM,3:00 PM,Sched Only
HIST 230,001,Wednesday,"December 20, 2017",9:00 AM,11:30 AM,Sched Only
HIST 252,001,Wednesday,"December 20, 2017",12:30 PM,2:00 PM,TBA
HIST 257,001,Tuesday,"December 19, 2017",9:00 AM,11:30 AM,Sched Only
HIST 275,001,Monday,"December 11, 2017",12:30 PM,3:00 PM,Sched Only
HIST 389,001,Friday,"December 8, 2017",4:00 PM,6:30 PM,Sched Only
HIST 391,001,Monday,"December 18, 2017",9:00 AM,11:30 AM,Sched Only
HLTH 101,"001,002",Monday,"December 18, 2017",4:00 PM,6:00 PM,TBA
HLTH 103,001,Tuesday,"December 12, 2017",7:30 PM,9:30 PM,TBA
HLTH 173,002,Wednesday,"December 13, 2017",7:30 PM,10:00 PM,TBA
HLTH 201,001,Tuesday,"December 19, 2017",4:00 PM,6:30 PM,TBA
HLTH 202,001,Saturday,"December 16, 2017",9:00 AM,11:00 AM,TBA
HLTH 204,001,Friday,"December 8, 2017",9:00 AM,10:30 AM,TBA
HLTH 320,001,Thursday,"December 7, 2017",4:00 PM,6:00 PM,TBA
HLTH 333,001,Tuesday,"December 12, 2017",9:00 AM,11:30 AM,TBA
HLTH 340,001,Thursday,"December 14, 2017",4:00 PM,6:00 PM,TBA
HLTH 355,001,Friday,"December 15, 2017",9:00 AM,11:00 AM,TBA
HLTH 407,001,Monday,"December 11, 2017",9:00 AM,11:30 AM,TBA
HRM 200,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
HRM 301,001,Friday,"December 8, 2017",9:00 AM,11:00 AM,TBA
HRM 303,001,Thursday,"December 14, 2017",9:00 AM,11:00 AM,TBA
HRM 307,001,Saturday,"December 9, 2017",12:30 PM,2:30 PM,TBA
HUMSC 101,001,Tuesday,"December 19, 2017",12:30 PM,3:00 PM,Sched Only
INDEV 100,001,Thursday,"December 14, 2017",4:00 PM,6:30 PM,TBA
INDEV 262,001,Wednesday,"December 20, 2017",9:00 AM,11:30 AM,TBA
INDEV 302,001,Friday,"December 15, 2017",4:00 PM,6:30 PM,TBA
