Exam,Section,Day,Date,Start,Finish,Location,,,,,,,,,,
CHE 101,001,Friday,"August 5, 2016",9:00 AM,11:30 AM,"PAC 9,10",,,,,,,,,,
CHE 102,001,Exam removed from schedule. Contact instructor for further information.,,,,,,,,,,,,,,
CHE 121,001,Thursday,"August 4, 2016",9:00 AM,11:30 AM,PAC 3,,,,,,,,,,
CHE 161,001,Thursday,"August 11, 2016",12:30 PM,2:00 PM,MC 4059,,,,,,,,,,
CHE 211,001,Wednesday,"August 10, 2016",9:00 AM,11:30 AM,PAC 3,,,,,,,,,,
CHE 231,001,Tuesday,"August 2, 2016",9:00 AM,11:30 AM,MC 1085,,,,,,,,,,
CHE 241,001,Wednesday,"August 3, 2016",4:00 PM,6:30 PM,PAC 8,,,,,,,,,,
CHE 312,001,Tuesday,"August 2, 2016",9:00 AM,11:30 AM,DC 1350,,,,,,,,,,
CHE 314,001,Friday,"August 5, 2016",9:00 AM,11:30 AM,PAC 8,,,,,,,,,,
CHE 322,001,Tuesday,"August 9, 2016",9:00 AM,11:30 AM,PAC 3,,,,,,,,,,
CHE 330,001,Friday,"August 12, 2016",9:00 AM,11:30 AM,PAC 6,,,,,,,,,,
CHE 420,001,Wednesday,"August 10, 2016",12:30 PM,3:00 PM,"E6 2024,4022",,,,,,,,,,
CHE 480,001,Monday,"August 8, 2016",9:00 AM,11:30 AM,"E6 2024,4022",,,,,,,,,,
CHEM 120,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
CHEM 123,001,Tuesday,"August 9, 2016",12:30 PM,3:00 PM,"PAC 7,8",,,,,,,,,,
CHEM 212,001,Friday,"August 5, 2016",7:30 PM,10:00 PM,"PAC 2,3",,,,,,,,,,
CHEM 233,001,Tuesday,"August 9, 2016",4:00 PM,6:30 PM,PAC 7,,,,,,,,,,
CHEM 237,001,Thursday,"August 4, 2016",7:30 PM,10:00 PM,"PAC 4,5",,,,,,,,,,
CHEM 237,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
CHEM 237L,001 to 003,Monday,"August 8, 2016",4:00 PM,6:00 PM,M3 1006,,,,,,,,,,
CHEM 254,001,Wednesday,"August 3, 2016",7:30 PM,10:00 PM,"PAC 4,5",,,,,,,,,,
CHEM 265,001,Monday,"August 8, 2016",9:00 AM,11:30 AM,PAC 1,,,,,,,,,,
CHEM 265L,"001,002",Monday,"August 8, 2016",4:00 PM,6:00 PM,DC 1351,,,,,,,,,,
CHEM 267,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
CHINA 101R,001,Wednesday,"August 10, 2016",9:00 AM,11:00 AM,EV3 3412,,,,,,,,,,
CHINA 102R,001,Tuesday,"August 2, 2016",9:00 AM,11:30 AM,REN 2107,,,,,,,,,,
CHINA 120R,001,Monday,"August 8, 2016",9:00 AM,11:30 AM,EV3 3412,,,,,,,,,,
CHINA 201R,001,Wednesday,"August 10, 2016",9:00 AM,11:30 AM,REN 0403,,,,,,,,,,
CHINA 202R,001,Thursday,"August 11, 2016",12:30 PM,3:00 PM,REN 0403,,,,,,,,,,
CIVE 105,001,Thursday,"August 11, 2016",12:30 PM,3:00 PM,"PAC 11,12",,,,,,,,,,
CIVE 121,001,Thursday,"August 4, 2016",12:30 PM,3:00 PM,"PAC 11,12",,,,,,,,,,
CIVE 205,001,Wednesday,"August 3, 2016",9:00 AM,11:30 AM,DC 1350,,,,,,,,,,
CIVE 222,001,Tuesday,"August 9, 2016",9:00 AM,11:30 AM,DC 1350,,,,,,,,,,
CIVE 240,001,Thursday,"August 11, 2016",9:00 AM,11:30 AM,DC 1351,,,,,,,,,,
CIVE 280,001,Friday,"August 5, 2016",9:00 AM,11:30 AM,"RCH 103,105",,,,,,,,,,
CIVE 353,001,Thursday,"August 4, 2016",7:30 PM,10:00 PM,RCH 301,,,,,,,,,,
CIVE 413,001,Wednesday,"August 3, 2016",9:00 AM,11:30 AM,DC 1351,,,,,,,,,,
CIVE 414,001,Monday,"August 8, 2016",9:00 AM,11:30 AM,RCH 302,,,,,,,,,,
CIVE 444,001,Friday,"August 12, 2016",7:30 PM,10:00 PM,RCH 306,,,,,,,,,,
CIVE 486,001,Tuesday,"August 2, 2016",9:00 AM,11:30 AM,DWE 3519,,,,,,,,,,
CIVE 491,001,Friday,"August 5, 2016",4:00 PM,6:30 PM,"RCH 301,309",,,,,,,,,,
CIVE 497,001,Thursday,"August 11, 2016",9:00 AM,11:30 AM,DWE 2402,,,,,,,,,,
