Exam,Section(s),Day,Date,Start,End,Location
ME 303,001,Friday,"August 3, 2012",9:00 AM,11:30 AM,See Prof
ME 321,001,Tuesday,"August 7, 2012",7:30 PM,10:00 PM,See Prof
ME 321,002,Tuesday,"August 7, 2012",12:30 PM,3:00 PM,See Prof
ME 340,001,Thursday,"August 9, 2012",9:00 AM,11:30 AM,See Prof
ME 351,001,Wednesday,"August 1, 2012",4:00 PM,6:30 PM,See Prof
ME 354,001,Monday,"July 30, 2012",7:30 PM,10:00 PM,See Prof
ME 401,001,Wednesday,"August 8, 2012",7:30 PM,10:00 PM,See Prof
ME 423,001,Saturday,"August 4, 2012",12:30 PM,3:00 PM,See Prof
ME 436,001,Thursday,"August 9, 2012",7:30 PM,10:00 PM,See Prof
ME 456,001,Thursday,"August 2, 2012",7:30 PM,10:00 PM,See Prof
ME 459,001,Wednesday,"August 1, 2012",9:00 AM,11:30 AM,See Prof
ME 548,001,Monday,"July 30, 2012",12:30 PM,3:00 PM,See Prof
ME 559,001,Tuesday,"July 31, 2012",9:00 AM,11:30 AM,See Prof
ME 561,001,Wednesday,"August 8, 2012",9:00 AM,11:30 AM,See Prof
ME 566,001,Tuesday,"August 7, 2012",12:30 PM,3:00 PM,See Prof
ME 599,001,Monday,"July 30, 2012",12:30 PM,3:00 PM,See Prof
ME 760,001,Monday,"July 30, 2012",12:30 PM,3:00 PM,See Prof
MSCI 252,001,Friday,"August 3, 2012",12:30 PM,3:00 PM,"RCH 305,306"
MSCI 261,"001,002",Exam removed from the schedule.  Contact instructor for further information.,,,,
MSCI 261,003,Friday,"August 10, 2012",12:30 PM,3:00 PM,"PAC 11,12"
MSCI 261,004,Friday,"August 10, 2012",12:30 PM,3:00 PM,PAC 6
MSCI 263,001,Tuesday,"August 7, 2012",9:00 AM,11:30 AM,PAC 8
MSCI 331,001,Thursday,"August 2, 2012",9:00 AM,11:30 AM,PAC 6
MSCI 331,002,Thursday,"August 2, 2012",9:00 AM,11:30 AM,"PAC 9,10"
