V1,Village 1 South 4,43.470614,-80.550481
V1,Village 1 South 5,43.470904,-80.550733
V1,Village 1 South 6,43.471087,-80.550478
V1,Village 1 South 7,43.47073,-80.55131
V1,Village 1 South 8,43.470919,-80.551554
V1,Village 1 West 1,43.471513,-80.550677
V1,Village 1 West 2,43.471457,-80.551063
V1,Village 1 West 3,43.471725,-80.551431
V1,Village 1 West 4,43.471902,-80.551192
V1,Village 1 West 5,43.472031,-80.550897
V1,Village 1 West 6,43.47183,-80.550647
WFF,Warrior Football Field,43.4747,-80.55014
WSS,Wellington Street Stratford,43.370474,-80.982231
