AP Name,Aruba AP Model,IP Address,MAC Address,Secondary MAC Address,SSID,Latitude,Longitude,Floor,Building Code
ENG-AP-E2-1301-A,105,172.18.10.120,D8C7C8C97016,D8C7C8170169,uw-unsecured,43.4703628385,-80.5399462247,1,E2
ENG-AP-E2-1301-A,105,172.18.10.120,D8C7C8C97016,D8C7C8170161,uw-unsecured,43.4703628385,-80.5399462247,1,E2
ENG-AP-E2-1302-A,105,172.18.10.119,D8C7C8C97019,D8C7C8170198,eduroam,43.4704731190,-80.5400266372,1,E2
ENG-AP-E2-1302-A,105,172.18.10.119,D8C7C8C97019,D8C7C8170190,eduroam,43.4704731190,-80.5400266372,1,E2
ENG-AP-E2-1302-A,105,172.18.10.119,D8C7C8C97019,D8C7C8170199,uw-unsecured,43.4704731190,-80.5400266372,1,E2
ENG-AP-E2-1302-A,105,172.18.10.119,D8C7C8C97019,D8C7C8170191,uw-unsecured,43.4704731190,-80.5400266372,1,E2
ENG-AP-E2-1302B-A,105,172.18.10.118,D8C7C8C96FE7,D8C7C816FE78,eduroam,43.4706379828,-80.5401426097,1,E2
ENG-AP-E2-1302B-A,105,172.18.10.118,D8C7C8C96FE7,D8C7C816FE70,eduroam,43.4706379828,-80.5401426097,1,E2
ENG-AP-E2-1302B-A,105,172.18.10.118,D8C7C8C96FE7,D8C7C816FE79,uw-unsecured,43.4706379828,-80.5401426097,1,E2
ENG-AP-E2-1302B-A,105,172.18.10.118,D8C7C8C96FE7,D8C7C816FE71,uw-unsecured,43.4706379828,-80.5401426097,1,E2
ENG-AP-E2-1303-A,105,172.18.10.79,D8C7C8C9703C,D8C7C81703C8,eduroam,43.4707219320,-80.5410358735,1,E2
ENG-AP-E2-1303-A,105,172.18.10.79,D8C7C8C9703C,D8C7C81703C0,eduroam,43.4707219320,-80.5410358735,1,E2
ENG-AP-E2-1303-A,105,172.18.10.79,D8C7C8C9703C,D8C7C81703C9,uw-unsecured,43.4707219320,-80.5410358735,1,E2
ENG-AP-E2-1303-A,105,172.18.10.79,D8C7C8C9703C,D8C7C81703C1,uw-unsecured,43.4707219320,-80.5410358735,1,E2
ENG-AP-E2-1303A-A,105,172.18.10.81,D8C7C8C9701B,D8C7C81701B8,eduroam,43.4707704538,-80.5408946486,1,E2
ENG-AP-E2-1303A-A,105,172.18.10.81,D8C7C8C9701B,D8C7C81701B0,eduroam,43.4707704538,-80.5408946486,1,E2
ENG-AP-E2-1303A-A,105,172.18.10.81,D8C7C8C9701B,D8C7C81701B9,uw-unsecured,43.4707704538,-80.5408946486,1,E2
ENG-AP-E2-1303A-A,105,172.18.10.81,D8C7C8C9701B,D8C7C81701B1,uw-unsecured,43.4707704538,-80.5408946486,1,E2
ENG-AP-E2-1303A-B,105,172.18.10.82,D8C7C8C96FFF,D8C7C816FFF8,eduroam,43.4708021664,-80.5408036115,1,E2
ENG-AP-E2-1303A-B,105,172.18.10.82,D8C7C8C96FFF,D8C7C816FFF0,eduroam,43.4708021664,-80.5408036115,1,E2
ENG-AP-E2-1303A-B,105,172.18.10.82,D8C7C8C96FFF,D8C7C816FFF1,uw-unsecured,43.4708021664,-80.5408036115,1,E2
ENG-AP-E2-1303A-B,105,172.18.10.82,D8C7C8C96FFF,D8C7C816FFF9,uw-unsecured,43.4708021664,-80.5408036115,1,E2
ENG-AP-E2-1303-B,105,172.18.10.80,D8C7C8C97050,D8C7C8170508,eduroam,43.4707536874,-80.5409406042,1,E2
ENG-AP-E2-1303-B,105,172.18.10.80,D8C7C8C97050,D8C7C8170500,eduroam,43.4707536874,-80.5409406042,1,E2
ENG-AP-E2-1303-B,105,172.18.10.80,D8C7C8C97050,D8C7C8170509,uw-unsecured,43.4707536874,-80.5409406042,1,E2
ENG-AP-E2-1303-B,105,172.18.10.80,D8C7C8C97050,D8C7C8170501,uw-unsecured,43.4707536874,-80.5409406042,1,E2
ENG-AP-E2-1303B-A,105,172.18.10.83,D8C7C8C9702B,D8C7C81702B8,eduroam,43.4708622728,-80.5406512083,1,E2
ENG-AP-E2-1303B-A,105,172.18.10.83,D8C7C8C9702B,D8C7C81702B0,eduroam,43.4708622728,-80.5406512083,1,E2
ENG-AP-E2-1303B-A,105,172.18.10.83,D8C7C8C9702B,D8C7C81702B9,uw-unsecured,43.4708622728,-80.5406512083,1,E2
ENG-AP-E2-1303B-A,105,172.18.10.83,D8C7C8C9702B,D8C7C81702B1,uw-unsecured,43.4708622728,-80.5406512083,1,E2
ENG-AP-E2-1303B-B,105,172.18.10.70,D8C7C8C970D2,D8C7C8170D28,eduroam,43.4708183118,-80.5407593579,1,E2
ENG-AP-E2-1303B-B,105,172.18.10.70,D8C7C8C970D2,D8C7C8170D20,eduroam,43.4708183118,-80.5407593579,1,E2
ENG-AP-E2-1303B-B,105,172.18.10.70,D8C7C8C970D2,D8C7C8170D29,uw-unsecured,43.4708183118,-80.5407593579,1,E2
ENG-AP-E2-1303B-B,105,172.18.10.70,D8C7C8C970D2,D8C7C8170D21,uw-unsecured,43.4708183118,-80.5407593579,1,E2
ENG-AP-E2-1303E-A,105,172.18.10.107,D8C7C8C9704E,D8C7C81704E8,eduroam,43.4707919280,-80.5405024836,1,E2
ENG-AP-E2-1303E-A,105,172.18.10.107,D8C7C8C9704E,D8C7C81704E0,eduroam,43.4707919280,-80.5405024836,1,E2
ENG-AP-E2-1303E-A,105,172.18.10.107,D8C7C8C9704E,D8C7C81704E9,uw-unsecured,43.4707919280,-80.5405024836,1,E2
ENG-AP-E2-1303E-A,105,172.18.10.107,D8C7C8C9704E,D8C7C81704E1,uw-unsecured,43.4707919280,-80.5405024836,1,E2
ENG-AP-E2-1303G-A,105,172.18.10.108,D8C7C8C97041,D8C7C8170418,eduroam,43.4707508580,-80.5406232838,1,E2
ENG-AP-E2-1303G-A,105,172.18.10.108,D8C7C8C97041,D8C7C8170410,eduroam,43.4707508580,-80.5406232838,1,E2
ENG-AP-E2-1303G-A,105,172.18.10.108,D8C7C8C97041,D8C7C8170419,uw-unsecured,43.4707508580,-80.5406232838,1,E2
ENG-AP-E2-1303G-A,105,172.18.10.108,D8C7C8C97041,D8C7C8170411,uw-unsecured,43.4707508580,-80.5406232838,1,E2
ENG-AP-E2-1303H-A,105,172.18.10.109,D8C7C8C9702A,D8C7C81702A8,eduroam,43.4706566406,-80.5408650680,1,E2
ENG-AP-E2-1303H-A,105,172.18.10.109,D8C7C8C9702A,D8C7C81702A0,eduroam,43.4706566406,-80.5408650680,1,E2
ENG-AP-E2-1303H-A,105,172.18.10.109,D8C7C8C9702A,D8C7C81702A9,uw-unsecured,43.4706566406,-80.5408650680,1,E2
ENG-AP-E2-1303H-A,105,172.18.10.109,D8C7C8C9702A,D8C7C81702A1,uw-unsecured,43.4706566406,-80.5408650680,1,E2
ENG-AP-E2-1306E-A,105,172.18.10.110,D8C7C8C9704C,D8C7C81704C8,eduroam,43.4712534971,-80.5405335405,1,E2
ENG-AP-E2-1306E-A,105,172.18.10.110,D8C7C8C9704C,D8C7C81704C0,eduroam,43.4712534971,-80.5405335405,1,E2
ENG-AP-E2-1306E-A,105,172.18.10.110,D8C7C8C9704C,D8C7C81704C9,uw-unsecured,43.4712534971,-80.5405335405,1,E2
ENG-AP-E2-1306E-A,105,172.18.10.110,D8C7C8C9704C,D8C7C81704C1,uw-unsecured,43.4712534971,-80.5405335405,1,E2
ENG-AP-E2-1307C-A,105,172.18.10.112,D8C7C8C97013,D8C7C8170138,eduroam,43.4710341354,-80.5403735436,1,E2
ENG-AP-E2-1307C-A,105,172.18.10.112,D8C7C8C97013,D8C7C8170130,eduroam,43.4710341354,-80.5403735436,1,E2
ENG-AP-E2-1307C-A,105,172.18.10.112,D8C7C8C97013,D8C7C8170139,uw-unsecured,43.4710341354,-80.5403735436,1,E2
ENG-AP-E2-1307C-A,105,172.18.10.112,D8C7C8C97013,D8C7C8170131,uw-unsecured,43.4710341354,-80.5403735436,1,E2
ENG-AP-E2-1307E-A,105,172.18.10.111,D8C7C8C96FDB,D8C7C816FDB8,eduroam,43.4711384837,-80.5403838033,1,E2
ENG-AP-E2-1307E-A,105,172.18.10.111,D8C7C8C96FDB,D8C7C816FDB0,eduroam,43.4711384837,-80.5403838033,1,E2
ENG-AP-E2-1307E-A,105,172.18.10.111,D8C7C8C96FDB,D8C7C816FDB9,uw-unsecured,43.4711384837,-80.5403838033,1,E2
ENG-AP-E2-1307E-A,105,172.18.10.111,D8C7C8C96FDB,D8C7C816FDB1,uw-unsecured,43.4711384837,-80.5403838033,1,E2
ENG-AP-E2-1310-A,105,172.18.10.113,D8C7C8C97005,D8C7C8170058,eduroam,,,,E2
ENG-AP-E2-1310-A,105,172.18.10.113,D8C7C8C97005,D8C7C8170050,eduroam,,,,E2
ENG-AP-E2-1310-A,105,172.18.10.113,D8C7C8C97005,D8C7C8170059,uw-unsecured,,,,E2
ENG-AP-E2-1310-A,105,172.18.10.113,D8C7C8C97005,D8C7C8170051,uw-unsecured,,,,E2
ENG-AP-E2-1310-B,105,172.18.10.114,D8C7C8C97022,D8C7C8170228,eduroam,,,,E2
ENG-AP-E2-1310-B,105,172.18.10.114,D8C7C8C97022,D8C7C8170220,eduroam,,,,E2
ENG-AP-E2-1310-B,105,172.18.10.114,D8C7C8C97022,D8C7C8170229,uw-unsecured,,,,E2
ENG-AP-E2-1310-B,105,172.18.10.114,D8C7C8C97022,D8C7C8170221,uw-unsecured,,,,E2
ENG-AP-E2-1374-A,105,172.18.10.115,D8C7C8C9700A,D8C7C81700A8,eduroam,43.4710914332,-80.5398420396,1,E2
ENG-AP-E2-1374-A,105,172.18.10.115,D8C7C8C9700A,D8C7C81700A0,eduroam,43.4710914332,-80.5398420396,1,E2
ENG-AP-E2-1374-A,105,172.18.10.115,D8C7C8C9700A,D8C7C81700A9,uw-unsecured,43.4710914332,-80.5398420396,1,E2
ENG-AP-E2-1374-A,105,172.18.10.115,D8C7C8C9700A,D8C7C81700A1,uw-unsecured,43.4710914332,-80.5398420396,1,E2
