subject,description,unit,group
"ERS","Environment and Resource Studies","ERS","ENV"
"ESL","English as a Second Language","REN","REN"
"EVSY","Environment and Society","VPA","VPA"
"FILM","Film (WLU)","VPA","VPA"
"FINAN","Finance","ACC","ART"
"FINE","Fine Arts","FINE","ART"
"FR","French Studies","FR","ART"
"FRCS","French Cultural Studies","FR","ART"
"GBDA","Global Business and Digital Arts","ARTSDEAN","ART"
"GEMCC","Geography and Environmental Mgmt, Climate Change","GEOG","ENV"
